"item_id","item_type","chain_type","level","next_id","name","open_cost","drop_pool","icon","iconName","description"
"1004008","normal","4","8","1004009","圣誓剑","","","items.svg","item-1004008","拖动两个相同棋子进行合成"
"1004009","normal","4","9","1004010","烈焰剑","","","items.svg","item-1004009","拖动两个相同棋子进行合成"
"1004010","normal","4","10","1004011","龙怨","","","items.svg","item-1004010","拖动两个相同棋子进行合成"
"1004011","normal","4","11","1004012","虚空","","","items.svg","item-1004011","拖动两个相同棋子进行合成"
"1004012","normal","4","12","1004013","天谴","","","items.svg","item-1004012","拖动两个相同棋子进行合成"
"1004013","normal","4","13","1004014","诸神","","","items.svg","item-1004013","拖动两个相同棋子进行合成"
"1004014","normal","4","14","1004015","永恒","","","items.svg","item-1004014","拖动两个相同棋子进行合成"
"1004015","normal","4","15","","创世","","","items.svg","item-1004015","拖动两个相同棋子进行合成"
"1005001","normal","5","1","1005002","流浪者","","","items.svg","item-1005001","拖动两个相同棋子进行合成"
"1005002","normal","5","2","1005003","守卫者","","","items.svg","item-1005002","拖动两个相同棋子进行合成"
"1005003","normal","5","3","1005004","御法者","","","items.svg","item-1005003","拖动两个相同棋子进行合成"
"1005004","normal","5","4","1005005","巨龙精魄","","","items.svg","item-1005004","拖动两个相同棋子进行合成"
"1005005","normal","5","5","1005006","圣光壁垒","","","items.svg","item-1005005","拖动两个相同棋子进行合成"
"1005006","normal","5","6","1005007","不灭冥王","","","items.svg","item-1005006","拖动两个相同棋子进行合成"
"1005007","normal","5","7","","永恒不朽","","","items.svg","item-1005007","拖动两个相同棋子进行合成"
"1006001","normal","6","1","1006002","碎晶","","","items.svg","item-1006001","拖动两个相同棋子进行合成"
"1006002","normal","6","2","1006003","璞玉","","","items.svg","item-1006002","拖动两个相同棋子进行合成"
"1006003","normal","6","3","1006004","尖晶","","","items.svg","item-1006003","拖动两个相同棋子进行合成"
"1006004","normal","6","4","1006005","玛瑙","","","items.svg","item-1006004","拖动两个相同棋子进行合成"
"1006005","normal","6","5","1006006","魔玉","","","items.svg","item-1006005","拖动两个相同棋子进行合成"
"1006006","normal","6","6","1006007","翡翠","","","items.svg","item-1006006","拖动两个相同棋子进行合成"
"1006007","normal","6","7","1006008","琥珀","","","items.svg","item-1006007","拖动两个相同棋子进行合成"
"1006008","normal","6","8","1006009","红宝石","","","items.svg","item-1006008","拖动两个相同棋子进行合成"
"1006009","normal","6","9","1006010","绿宝石","","","items.svg","item-1006009","拖动两个相同棋子进行合成"
"1006010","normal","6","10","1006011","蓝钻","","","items.svg","item-1006010","拖动两个相同棋子进行合成"
"1006011","normal","6","11","1006012","星芒","","","items.svg","item-1006011","拖动两个相同棋子进行合成"
"1006012","normal","6","12","1006013","月光","","","items.svg","item-1006012","拖动两个相同棋子进行合成"
"1006013","normal","6","13","1006014","日炎","","","items.svg","item-1006013","拖动两个相同棋子进行合成"
"1006014","normal","6","14","","龙晶","","","items.svg","item-1006014","拖动两个相同棋子进行合成"
"1007001","normal","7","1","1007002","抄录本","","","items.svg","item-1007001","拖动两个相同棋子进行合成"
"1007002","normal","7","2","1007003","魔法入门","","","items.svg","item-1007002","拖动两个相同棋子进行合成"
"1007003","normal","7","3","1007004","元素法典","","","items.svg","item-1007003","拖动两个相同棋子进行合成"
"1007004","normal","7","4","1007005","秘法之钥","","","items.svg","item-1007004","拖动两个相同棋子进行合成"
"1007005","normal","7","5","1007006","圣域先哲","","","items.svg","item-1007005","拖动两个相同棋子进行合成"
"1007006","normal","7","6","1007007","湮灭禁典","","","items.svg","item-1007006","拖动两个相同棋子进行合成"
"1007007","normal","7","7","1008001","创世神喻","","","items.svg","item-1007007","拖动两个相同棋子进行合成"
"1008001","special","8","1","1008002","野性兽","","","items.svg","item-1008001","双击领取100金币，领取后棋子消失"
"1008002","special","8","2","1008003","温顺兽","","","items.svg","item-1008002","双击领取100金币，领取后棋子消失"
"1008003","special","8","3","1008004","异变兽","","","items.svg","item-1008003","双击领取100金币，领取后棋子消失"
"1008004","special","8","4","1008005","魔血兽","","","items.svg","item-1008004","双击领取100金币，领取后棋子消失"
"1008005","special","8","5","1008006","统领兽","","","items.svg","item-1008005","双击领取100金币，领取后棋子消失"
"1008006","special","8","6","1008007","幻兽兽","","","items.svg","item-1008006","双击领取100金币，领取后棋子消失"
"1008007","special","8","7","1008008","灾祸兽","","","items.svg","item-1008007","双击领取100金币，领取后棋子消失"
"1008008","special","8","8","1008009","古老兽","","","items.svg","item-1008008","双击领取100金币，领取后棋子消失"
"1008009","special","8","9","1008010","神话兽","","","items.svg","item-1008009","双击领取100金币，领取后棋子消失"
"1008010","special","8","10","","主宰兽","","","items.svg","item-1008010","双击领取100金币，领取后棋子消失"
